size,Triton,Torch
4096.0,277132052873.4,751100254788.0
8192.0,563156305905.8,1487651409923.5
16384.0,1122191778225.8,2871028041581.4
32768.0,2236214673543.8,5879425607186.4
65536.0,4237264226249.7,11901391093026.9
131072.0,8423650443471.2,23518056123832.1
262144.0,16732685176887.0,45936448665302.0
524288.0,27382729081576.8,87382548772693.1
1048576.0,63268865042366.8,157601609141065.4
2097152.0,116681303925091.8,264791916475094.0
4194304.0,207228457078138.8,400223012111539.7
8388608.0,333411582505122.0,534079443478306.6
16777216.0,473755327314769.4,647935743254960.4
33554432.0,599902231136321.2,715042313718489.6
67108864.0,692703260604551.6,754939076057904.8
134217728.0,752175327330658.6,776785194171677.9
