N,Triton,Torch (native),Torch (jit)
256.0,41.0,99.1,30.6
384.0,61.6,137.5,36.4
512.0,81.4,184.6,45.9
640.0,99.0,215.2,56.2
768.0,118.2,248.1,64.4
896.0,135.7,277.6,71.5
1024.0,151.2,297.5,73.0
1152.0,156.2,238.3,84.6
1280.0,175.7,252.8,90.8
1408.0,188.5,255.0,95.2
1536.0,204.7,267.3,99.6
1664.0,218.3,268.1,104.9
1792.0,231.3,273.3,109.1
1920.0,244.5,272.9,112.9
2048.0,255.8,295.8,99.4
2176.0,223.5,305.7,120.0
2304.0,235.6,320.6,122.1
2432.0,246.9,313.5,125.0
2560.0,260.1,320.4,128.6
2688.0,270.1,321.0,131.9
2816.0,283.8,326.4,134.3
2944.0,297.9,324.3,136.7
3072.0,311.2,327.5,132.5
3200.0,312.2,329.0,140.9
3328.0,324.9,332.2,143.2
3456.0,335.8,328.7,145.4
3584.0,346.1,329.7,145.7
3712.0,358.2,326.6,148.5
3840.0,367.6,326.6,150.3
3968.0,378.1,324.0,152.3
4096.0,386.4,360.0,132.7
4224.0,366.4,347.8,155.0
4352.0,374.0,340.3,156.0
4480.0,383.3,344.0,157.7
4608.0,393.2,342.7,157.8
4736.0,399.8,337.7,159.5
4864.0,407.8,333.7,161.4
4992.0,414.5,338.4,162.1
5120.0,422.1,339.0,157.1
5248.0,424.0,334.8,164.5
5376.0,432.3,335.0,165.3
5504.0,439.2,339.4,166.4
5632.0,445.5,339.0,163.9
5760.0,449.0,335.1,167.4
5888.0,454.0,336.2,169.2
6016.0,458.4,337.6,169.4
6144.0,463.5,346.5,151.9
6272.0,467.8,344.4,170.5
6400.0,472.0,345.0,172.1
6528.0,477.0,347.3,174.2
6656.0,480.3,350.3,172.8
6784.0,484.8,345.2,174.3
6912.0,488.3,346.3,175.7
7040.0,492.1,346.0,175.8
7168.0,497.6,347.2,170.8
7296.0,499.1,345.8,177.6
7424.0,501.8,346.3,177.7
7552.0,505.2,346.9,178.6
7680.0,507.6,346.6,177.7
7808.0,511.3,346.1,179.9
7936.0,515.6,347.2,179.8
8064.0,517.7,348.1,179.9
8192.0,524.0,357.0,178.6
8320.0,388.0,343.9,178.1
8448.0,398.0,352.5,178.7
8576.0,385.5,352.0,179.2
8704.0,390.1,351.1,180.2
8832.0,386.2,349.8,180.5
8960.0,390.5,350.4,180.8
9088.0,391.3,351.2,181.9
9216.0,399.0,351.3,183.2
9344.0,395.6,350.7,183.1
9472.0,397.0,351.8,183.4
9600.0,398.1,351.2,183.0
9728.0,401.9,352.0,184.2
9856.0,405.0,350.7,184.7
9984.0,409.2,351.9,184.7
10112.0,408.2,351.9,185.5
10240.0,439.7,352.6,186.1
10368.0,413.5,353.0,186.1
10496.0,418.4,354.1,186.9
10624.0,414.9,354.0,189.7
10752.0,420.3,358.3,191.0
10880.0,423.8,358.6,192.5
11008.0,439.4,360.8,190.9
11136.0,436.6,363.0,192.5
11264.0,439.4,362.4,192.0
11392.0,437.5,357.5,191.2
11520.0,439.1,356.9,191.7
11648.0,441.9,356.7,191.8
11776.0,444.6,357.4,192.5
11904.0,447.4,356.7,192.5
12032.0,449.9,356.9,192.8
12160.0,450.8,357.0,193.3
12288.0,477.6,357.1,194.1
12416.0,452.5,357.4,194.0
12544.0,455.9,357.8,194.1
12672.0,456.6,357.3,194.2
